place_id,tripadvisor_id,fsq_id,name,business_status,types,price_level,ta_price_level,price_level_combined,rating,user_ratings_total,ta_rating,ta_user_ratings_total,combined_rating,geometry.location.lat,geometry.location.lng,formatted_address,zip_code,city,international_phone_number,website,google_category,ta_4sq_cuisine1,ta_4sq_cuisine2,ta_4sq_cuisine3,ta_4sq_cuisine4,ta_4sq_cuisine5,main_category_1,main_category_2,main_category_3,main_category_4,combined_main_category,sub_category,neighboorhood_area_km2,resident_population_total,population_age_0_14,population_15_19,population_20_24,population_25_34,population_35_44,population_45_54,population_54_64,population_65+,resident_per_km2,brut_income_annual_per_person,district,district_cluster,combined_main_category_2
ChIJd6kh67ZkjEcRC1IQourQOyo,7159041,4de685281f6e9d90c7f5325c,Restaurant La Tentation,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,2,3,4.2,158,3.5,34,4.1,46.205232,6.1149446,"Av. d'Aïre 91, 1203 Genève, Switzerland",1203,Genève,+41 22 344 28 29,,Restaurant,European,Swiss,International,0,0,European,Swiss,,,"European, Swiss",,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,European
ChIJX68uubZkjEcRKKxpZ7OrgqU,13322506,,Café Restaurant Palma,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,4,3.7,141,2,3,3.7,46.2049308,6.1140212,"Av. d'Aïre 93bis, 1203 Genève, Switzerland",1203,Genève,+41 22 345 84 48,,Restaurant,0,0,0,0,0,General / Restaurant,,,,General / Restaurant,,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,General
ChIJPcYsG_BljEcR4kTFqBJJoK4,6720272,,Le Versailles,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']",,2,3,3.9,56,4,5,3.9,46.2057517,6.1147635,"Chem. des Sports 2, 1203 Genève, Switzerland",1203,Genève,+41 22 344 49 41,https://yellow.local.ch/d/iWjaP0dHU9GYe4GDduNgnw,Italian restaurant,Italian,French,International,European,Central European,Italian,French,European,,"Italian, French, European",,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,European
ChIJV8uySFxljEcRn7XpIO3zZX0,,,Restaurant Les Jardins du Rhône,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,,,,,46.2052484,6.1155034,"Av. d'Aïre 89, 1203 Genève, Switzerland",1203,Genève,+41 22 561 38 04,,Restaurant,0,0,0,0,0,General / Restaurant,,,,General / Restaurant,,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,General
ChIJW8zU8rZkjEcR_Ke8t7c7hVc,,,Canteen De La Residence Gardens Du Rhône,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,4,5,1,,,5,46.2053868,6.1153467,"Av. d'Aïre 89, 1203 Genève, Switzerland",1203,Genève,+41 22 345 25 65,,Restaurant,0,0,0,0,0,General / Restaurant,,,,General / Restaurant,,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,General
ChIJi2PgiblkjEcR5J9Kv-pRTRY,,,De Oliveira Leonel et Cie,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,,3,3.9,36,,,3.9,46.2103963,6.1145098,"Av. Henri-Golay 3, 1203 Genève, Switzerland",1203,Genève,+41 22 796 79 14,,Restaurant,0,0,0,0,0,General / Restaurant,,,,General / Restaurant,,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,General
ChIJN97gX2NljEcRfnSAXk9QFyE,,,Max Poulet,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,,,,,46.2062727,6.1159852,"Av. d'Aïre 100, 1203 Genève, Switzerland",1203,Genève,+41 79 380 18 97,,Chicken restaurant,0,0,0,0,0,Chicken,,,,Chicken,,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,Fast Food
ChIJNVpwC79kjEcRqKfKmxCTkgE,,,Au Siciliano DOC,OPERATIONAL,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,,,,,,46.2154621,6.1196076,"Rte de Meyrin 49, 1203 Genève, Switzerland",1203,Genève,+41 76 257 36 59,,Pizza takeaway,0,0,0,0,0,Pizza,,,,Pizza,,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,Fast Food
ChIJ_8qGQMhkjEcRXkHKQ_Q5Bo0,2421668,045c2fccd0244dbf8ab57449,Au Furet,OPERATIONAL,"['restaurant', 'cafe', 'lodging', 'store', 'point_of_interest', 'food', 'establishment']",2,2,3,4.1,610,3.5,77,4,46.2070906,6.1207695,"1203, Av. d'Aïre 44, 1203 Genf, Switzerland",1203,Genève,+41 22 345 39 20,,Restaurant,Seafood,European,Swiss,International,0,Seafood,European,Swiss,,"Seafood, European, Swiss",,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,"European, Seafood"
ChIJ7UScbe5ljEcRzKMw2YXEW94,,,La Chamade,OPERATIONAL,"['restaurant', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",,,4,4.5,24,,,4.5,46.2069461,6.1199566,"Av. d'Aïre 52, 1203 Genève, Switzerland",1203,Genève,+41 22 345 55 23,,Restaurant,0,0,0,0,0,General / Restaurant,,,,General / Restaurant,,2.09,34002,4967,1547,1937,5163,5549,4924,4290,5625,16282,109266,Saint-Jean Charmilles,3,General
