place_id,name,price_level_combined,user_ratings_total,combined_rating,geometry.location.lat,geometry.location.lng,combined_main_category,sub_category,district,district_cluster,combined_main_category_2
ChIJd6kh67ZkjEcRC1IQourQOyo,Restaurant La Tentation,3.0,158.0,4.1,46.205232,6.1149446,"European, Swiss",,Saint-Jean Charmilles,3,European
ChIJX68uubZkjEcRKKxpZ7OrgqU,Café Restaurant Palma,4.0,141.0,3.7,46.2049308,6.1140212,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJPcYsG_BljEcR4kTFqBJJoK4,Le Versailles,3.0,56.0,3.9,46.2057517,6.1147635,"Italian, French, European",,Saint-Jean Charmilles,3,European
ChIJV8uySFxljEcRn7XpIO3zZX0,Restaurant Les Jardins du Rhône,,,,46.2052484,6.1155034,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJW8zU8rZkjEcR_Ke8t7c7hVc,Canteen De La Residence Gardens Du Rhône,4.0,1.0,5.0,46.2053868,6.1153467,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJi2PgiblkjEcR5J9Kv-pRTRY,De Oliveira Leonel et Cie,3.0,36.0,3.9,46.2103963,6.1145098,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJN97gX2NljEcRfnSAXk9QFyE,Max Poulet,,,,46.2062727,6.1159852,Chicken,,Saint-Jean Charmilles,3,Fast Food
ChIJNVpwC79kjEcRqKfKmxCTkgE,Au Siciliano DOC,,,,46.2154621,6.1196076,Pizza,,Saint-Jean Charmilles,3,Fast Food
ChIJ_8qGQMhkjEcRXkHKQ_Q5Bo0,Au Furet,3.0,610.0,4.0,46.2070906,6.1207695,"Seafood, European, Swiss",,Saint-Jean Charmilles,3,"European, Seafood"
ChIJ7UScbe5ljEcRzKMw2YXEW94,La Chamade,4.0,24.0,4.5,46.2069461,6.1199566,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJH-hMPchkjEcR9ogF6QK8TbY,Association Démocratique des Travailleurs Portugais de Genève,4.0,23.0,4.5,46.206985,6.1203244,Portuguese,,Saint-Jean Charmilles,3,European
ChIJhWc1EadljEcRDJ9xqT-4taM,Refettorio Geneva,2.0,34.0,4.4,46.2098953,6.1207742,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJeYJIqslkjEcRUHI7LCpKc0s,Café Le Cayla,2.0,59.0,4.3,46.205748,6.121626,Portuguese,,Saint-Jean Charmilles,3,European
ChIJCyhiu8BkjEcRRRNmqkEJ8g0,Restaurant La Fontaine,3.0,152.0,4.0,46.2141667,6.1216667,"Pizza, French",,Saint-Jean Charmilles,3,Fast Food
ChIJ4fJXrpVljEcRyaapN3U9k7c,Don Gusto,4.0,8.0,5.0,46.2144601,6.120897,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJt1VscNxljEcRzPUStVBekdk,Taurus - Steakhouse & Lounge,4.0,62.0,3.8,46.2074274,6.1224356,Steakhouse / Barbecue / Grill,,Saint-Jean Charmilles,3,Steakhouse / Barbecue / Grill
ChIJo4Xwi8hkjEcRIhTrMrsxCJs,Tourist brazilian Restaurant,,,,46.2074201,6.1225342,South American,Brazilian,Saint-Jean Charmilles,3,American
ChIJF1L7wJlljEcRkJ_MywelYs8,Le Wagon,,,,46.2088897,6.1224438,General / Restaurant,,Saint-Jean Charmilles,3,General
ChIJKyvQ35JkjEcRyYQsnEZsIds,Le Petit Océan,3.0,416.0,4.3,46.225605,6.1222,"Seafood, European",,Servette Petit-Saconnex,4,"European, Seafood"
ChIJZ0HOdJtljEcR8x0Gn7jTlXo,Cafe Salento,4.0,8.0,4.9,46.2046267,6.1231875,"Pizza, Italian",,Saint-Jean Charmilles,3,Fast Food
ChIJfarxIcZkjEcRPvEBKab9Y64,Burger King,3.0,2536.0,4.5,46.2076894,6.1234364,"Hamburger, American",,Saint-Jean Charmilles,3,"Hamburger, American"
ChIJnVFdp8hkjEcRVGLI8p9a8vU,Migros Take Away,3.0,5.0,3.6,46.2079064,6.1230213,General / Fast food / Snacks / Take Away,Take Away,Saint-Jean Charmilles,3,Fast Food
ChIJSZEHjf9ljEcRkiWaLIJP8Go,Major Grill,4.0,54.0,4.6,46.2072463,6.1230892,Steakhouse / Barbecue / Grill,,Saint-Jean Charmilles,3,Steakhouse / Barbecue / Grill
ChIJe1Fdp8hkjEcRduAjzVfdw0E,WASABI SUSHI Planète Charmilles,2.0,80.0,3.6,46.2076416,6.1235245,Japanese,Sushi,Saint-Jean Charmilles,3,Asian
ChIJdRFop8hkjEcRjhEtkUr_tJc,Da Pulcinella,3.0,178.0,4.1,46.2077778,6.1238889,"Pizza, Italian, European",,Saint-Jean Charmilles,3,Fast Food
ChIJdRFop8hkjEcRg6_m1RQ1Szs,Mutlu Kebab,4.0,22.0,4.5,46.2080443,6.1231161,"Steakhouse / Barbecue / Grill, Turkish",,Saint-Jean Charmilles,3,"Steakhouse / Barbecue / Grill, Middle Eastern & African"
ChIJz3hAQgNljEcRkpWwh870oTg,Max Poulet,,,,46.2085918,6.1238634,Chicken,,Saint-Jean Charmilles,3,Fast Food
ChIJC_DLKcdkjEcRexbawoQqn0g,Auberge Fédérale - Le Ginevra,3.0,313.0,4.2,46.212803,6.1233815,"Italian, Swiss, European",,Saint-Jean Charmilles,3,European
ChIJ3dgvJMdkjEcR5DW8wpV6fPM,Le trois plis,4.0,89.0,4.7,46.2123063,6.1228648,General / Bar / Pub / Bistro,,Saint-Jean Charmilles,3,General
ChIJC_DLKcdkjEcRPZOoI-II5jE,Spirito Giovanni & Rosalia,4.0,7.0,4.4,46.2126994,6.123407,General / Restaurant,,Saint-Jean Charmilles,3,General
