,name,place_id,types,price_level,rating,user_ratings_total,vicinity,plus_code.global_code,geometry.location.lat,geometry.location.lng
0,Café Restaurant Palma,ChIJX68uubZkjEcRKKxpZ7OrgqU,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.7,141,"Av. d'Aïre 93bis, Genève",8FR86437+XJ,46.2049215,6.1140218
1,Restaurant La Tentation,ChIJd6kh67ZkjEcRC1IQourQOyo,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.2,158,"Av. d'Aïre 91, Genève",8FR86447+3X,46.2052833,6.1149202
2,Nénuphar Café | Restaurant,ChIJt8c02LFkjEcRcbEARQLCYQo,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,4.7,63,"Rte de l'Usine-à-Gaz 10, Vernier",8FR86445+C6,46.2060694,6.1081211
3,Restaurant Les Jardins du Rhône,ChIJV8uySFxljEcRn7XpIO3zZX0,"['restaurant', 'food', 'point_of_interest', 'establishment']",,0,0,"Av. d'Aïre 89, Genève",8FR86448+36,46.2052484,6.1155034
4,Canteen De La Residence Gardens Du Rhône,ChIJW8zU8rZkjEcR_Ke8t7c7hVc,"['restaurant', 'food', 'point_of_interest', 'establishment']",,5,1,"Av. d'Aïre 89, Genève",8FR86448+54,46.2053868,6.1153467
5,Restaurant Scolaire Des Ouches,ChIJ8Ti8r7BkjEcRsbwcxSRTPH0,"['restaurant', 'food', 'point_of_interest', 'establishment']",,1,1,"Chem. des Ouches 19, Genève",8FR86457+8C,46.2083191,6.1135269
6,Brasserie St-Georges,ChIJ6dEUj0t7jEcRN_lF0ohkVOo,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.2,191,"Rte du Pont Butin 12, Petit-Lancy",8FR854W6+GQ,46.196262,6.111884
7,Restaurant Divan,ChIJhb4e-Ep7jEcRY38kziIGZmE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.5,113,"Rte de Saint-Georges 81, Petit-Lancy",8FR854W8+Q2,46.1969126,6.1151147
8,Restaurant le Pénitencier,ChIJ6dEUj0t7jEcRrYIh0GVIMbk,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.1,17,"Rte Pont-Butin 12, Petit-Lancy",8FR854W6+GP,46.196344,6.1119138
9,Max Poulet,ChIJN97gX2NljEcRfnSAXk9QFyE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,0,0,"Av. d'Aïre 100, Genève",8FR86448+G9,46.2061515,6.1162827
10,Café - Restaurant du Verger,ChIJ303DWdhxqkERrGFCDecE9xw,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,4.3,131,"Av. Henri-Golay 8, Châtelaine",8FR86467+6G,46.2105872,6.1138539
11,Restaurant Du Verger,ChIJrzFaJbpkjEcRcHQgJrlQRIQ,"['restaurant', 'point_of_interest', 'food', 'establishment']",,5,2,Vernier,8FR86467+6G,46.210665,6.1136903
12,Café de la Terrasse,ChIJFw7PgDV7jEcR8KRa2PoMgX8,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,199,"Rte de Saint-Georges 73, Petit-Lancy",8FR854W8+HV,46.1964202,6.1171405
13,La Terrazza,ChIJhTmcKrpkjEcRtvwoZq2K8yw,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.2,318,"Av. Edmond-Vaucher 1, Châtelaine",8FR86467+GV,46.2112936,6.1146535
14,La Suite,ChIJSWgh07tkjEcRj-Ksw1o1g7Q,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",,5,2,"Av. de Châtelaine 60/62, Genève",8FR86467+GM,46.2112628,6.1141458
15,Swiss Bistro,ChIJb0NFrJdkjEcRKBMxdsxp2As,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.2,115,"Av. Louis-Casaï 30, Cointrin",8FR864C7+5J,46.2204026,6.1140223
16,TIFFIN,ChIJvZNYMbhljEcRzaStxDxJD3U,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.9,17,"Av. Louis-Casaï 27, Genève",8FR86497+JJ,46.2190326,6.1140348
17,La Turquoise,ChIJ4XuI41xljEcR_y2uFNcgGb4,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.1,76,"Centre Commercial Balexert, Av. Louis-Casaï 27, Genève",8FR86497+R6,46.2195642,6.1131107
18,Wasabi Sushi Bento Bar,ChIJfSHAhIJljEcRmtHKnNRmEKM,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3,1,"Av. Louis-Casaï 27, Cointrin",8FR86497+WF,46.2198712,6.1138314
19,AKIKO Balexert,ChIJL1Sw0ZdkjEcRDN1B5HLWcAI,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,3.4,251,"Av. Louis-Casaï 27, Genève",8FR86497+PM,46.2193242,6.1142216
20,Migros Restaurant,ChIJiRdMPJhkjEcR-2gsIcMUv8A,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",,4,503,"Av. Louis-Casaï 27, Genève 28",8FR86496+CQ,46.2185224,6.1119638
21,BAGELSTEIN • Bagels & Coffee shop,ChIJS2O70JdkjEcR8zbo3cGhgk0,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",,3.8,99,"Avenue Louis-Casaï 27 Balexert, Vernier",8FR86497+G7,46.2187962,6.1131595
22,Suprême Tacos,ChIJ7_p-rJdkjEcRQdlOAxvIZC0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,3.8,650,"Av. Louis-Casaï 34, Cointrin",8FR864C7+F5,46.2212166,6.1128991
23,NORDSEE,ChIJafIcq6RljEcRQSOdN4w6HZE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.1,18,"Av. Louis-Casaï 27, Vernier",8FR86497+FM,46.2187238,6.1141642
24,Pizzeria Ristorante Molino Balexert,ChIJa13aO6JljEcR4hMjeyIXNMs,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,3.6,308,"Avenue Louis-Casaï 27, Case Postale 2903, Genève",8FR86497+G6,46.2187665,6.1131166
25,Wasabi,ChIJl1Ww0ZdkjEcRBuDSyFTBHyk,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,3.6,36,"Av. Louis-Casaï 27, Genève",8FR86497+H6,46.218965,6.113003
26,Muller's Factory Balexert,ChIJL1Sw0ZdkjEcRDqpgjs3Z044,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.1,99,"CP 2845 Avenue Louis-Casaï 27 1211, Geneva",8FR86497+H6,46.218968,6.113019
27,"Beau site grill, restaurant du P'tit Music'Hohl",ChIJgxEEi5lkjEcRltl_KqbFjDY,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,159,"Av. Louis-Casaï 54, Cointrin",8FR864F6+72,46.223233,6.1101037
28,Sushi Mania,ChIJMy47vGBljEcRSRQ--Uo69Kw,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,0,0,"Av. Louis-Casaï 27 1211, Genève",8FR86497+G6,46.2187665,6.1131166
29,McDonald’s Restaurant,ChIJ91qoKJZkjEcRo-jn2NuGHLI,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,3.4,113,"Av. Louis-Casaï 27, Vernier",8FR86497+HH,46.2189767,6.113983
30,La Chamade,ChIJ7UScbe5ljEcRzKMw2YXEW94,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",,4.5,23,"Av. d'Aïre 52, Genève",8FR86449+QX,46.206901,6.1199772
31,ArteAndaluz,ChIJyZwxu7tkjEcRjCc224kKQbU,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,4.2,159,"Chem. De-Maisonneuve 10, Vernier",8FR86467+W8,46.2122856,6.1132709
32,McDonald’s,ChIJR1ruzZdkjEcReswSeLb3a18,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,3.5,571,"Auto Centre, Av. Louis-Casaï 11, Geneva",8FR86497+5X,46.2179926,6.1149389
