,formatted_address,international_phone_number,name,place_id,rating,reviews,types,user_ratings_total,price_level
0,"Av. d'Aïre 93bis, 1203 Genève, Switzerland",+41 22 345 84 48,Café Restaurant Palma,ChIJX68uubZkjEcRKKxpZ7OrgqU,3.7,"[{'author_name': 'Amin Masroor', 'author_url': 'https://www.google.com/maps/contrib/115801565642030609649/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucpwjdpA-qSljX1F-w9iWsRKoZSVWmXycwe2eUaJGA=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 1, 'relative_time_description': '11 months ago', 'text': 'The owner does not know how to behave with customer, he is not polite at all.\nFood was not good\nI order pizze with meat,\nMeat was left on pizza\nIt was not cooked well with pizza, pizza topping and base were not taste good at all also expensive compare to food they serve\nToilet area is not clean,\nRestaurant is not clean,\nSmell, Specially toilet area\n\nThey should take care of hygiene and owner should learn manners\nI will never visit again', 'time': 1632111859}, {'author_name': 'Simon Salar', 'author_url': 'https://www.google.com/maps/contrib/114263835282781857725/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmnx_c7vkJANsPTur66NBTMIBqchJRU8qOVTUN4=s128-c0x00000000-cc-rp-mo', 'rating': 1, 'relative_time_description': 'a year ago', 'text': 'Bad pizza, not clean and the waitress was very unfriendly. When I asked her politely if they have a pizza with salami she just told me to ask the chef. And when I got my pizza, she asked me in a very offensive tone, if I have paid yet, before I even had the chance. Not recommended!', 'time': 1623447990}, {'author_name': 'Iván Bermúdez', 'author_url': 'https://www.google.com/maps/contrib/101934501301178351491/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucoqtu7xWjr3g8xp5bruzSMMO0BF5zYKu36IW1W55Q=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'I love the kebab every time that I come to Geneva I visit this place . I love it', 'time': 1541454112}, {'author_name': 'Jose', 'author_url': 'https://www.google.com/maps/contrib/117553836634018419000/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmBTkBtyjBHxSAPaxLBlFBQRqUoEuVmni-ShCNW=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'Top', 'time': 1551688387}, {'author_name': 'Francois Potestat', 'author_url': 'https://www.google.com/maps/contrib/114364570543536456614/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucrMxshTnidWpRXWuQzZuhAfzK098T1jj1RoAl4I=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '5 years ago', 'text': 'Cool', 'time': 1502554650}]","['restaurant', 'food', 'point_of_interest', 'establishment']",141.0,
0,"Av. d'Aïre 93bis, 1203 Genève, Switzerland",+41 22 345 84 48,Café Restaurant Palma,ChIJX68uubZkjEcRKKxpZ7OrgqU,3.7,"[{'author_name': 'Amin Masroor', 'author_url': 'https://www.google.com/maps/contrib/115801565642030609649/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucpwjdpA-qSljX1F-w9iWsRKoZSVWmXycwe2eUaJGA=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 1, 'relative_time_description': '11 months ago', 'text': 'The owner does not know how to behave with customer, he is not polite at all.\nFood was not good\nI order pizze with meat,\nMeat was left on pizza\nIt was not cooked well with pizza, pizza topping and base were not taste good at all also expensive compare to food they serve\nToilet area is not clean,\nRestaurant is not clean,\nSmell, Specially toilet area\n\nThey should take care of hygiene and owner should learn manners\nI will never visit again', 'time': 1632111859}, {'author_name': 'Simon Salar', 'author_url': 'https://www.google.com/maps/contrib/114263835282781857725/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmnx_c7vkJANsPTur66NBTMIBqchJRU8qOVTUN4=s128-c0x00000000-cc-rp-mo', 'rating': 1, 'relative_time_description': 'a year ago', 'text': 'Bad pizza, not clean and the waitress was very unfriendly. When I asked her politely if they have a pizza with salami she just told me to ask the chef. And when I got my pizza, she asked me in a very offensive tone, if I have paid yet, before I even had the chance. Not recommended!', 'time': 1623447990}, {'author_name': 'Iván Bermúdez', 'author_url': 'https://www.google.com/maps/contrib/101934501301178351491/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucoqtu7xWjr3g8xp5bruzSMMO0BF5zYKu36IW1W55Q=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'I love the kebab every time that I come to Geneva I visit this place . I love it', 'time': 1541454112}, {'author_name': 'Jose', 'author_url': 'https://www.google.com/maps/contrib/117553836634018419000/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmBTkBtyjBHxSAPaxLBlFBQRqUoEuVmni-ShCNW=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'Top', 'time': 1551688387}, {'author_name': 'Francois Potestat', 'author_url': 'https://www.google.com/maps/contrib/114364570543536456614/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucrMxshTnidWpRXWuQzZuhAfzK098T1jj1RoAl4I=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '5 years ago', 'text': 'Cool', 'time': 1502554650}]","['restaurant', 'point_of_interest', 'food', 'establishment']",141.0,
0,"Av. d'Aïre 91, 1203 Genève, Switzerland",+41 22 344 28 29,Restaurant La Tentation,ChIJd6kh67ZkjEcRC1IQourQOyo,4.2,"[{'author_name': 'Lorcan Flynn', 'author_url': 'https://www.google.com/maps/contrib/112510160972673972025/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucpKgT6R4Sft_Yuiv_CiJpDLwMiVMuXdmuKGxUsXAg=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'Good food friendly service', 'time': 1595575133}, {'author_name': 'Dany Vinces', 'author_url': 'https://www.google.com/maps/contrib/116144535826454327673/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmJh3Od4M0kmw7HMBuho7w5haOrYoDAWWPNpCQj=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': 'a year ago', 'text': 'Excellent!!!!', 'time': 1599758253}, {'author_name': 'Maribel Perez', 'author_url': 'https://www.google.com/maps/contrib/113012050420573241032/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucoQB95QQOMxPUNi0ej54RTssaD0HcYfet-YvZgtjw=s128-c0x00000000-cc-rp-mo-ba6', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'Exquisite', 'time': 1581758478}, {'author_name': 'David Hanhart', 'author_url': 'https://www.google.com/maps/contrib/113721297522261317267/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucriym8bDJvOWKQEk6CJyLETuuhr1JciyRCng0YvMSY=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 4, 'relative_time_description': '7 years ago', 'text': 'Tasty food, nice dishes. Service could have been better.', 'time': 1423773015}, {'author_name': 'Clément Roch', 'author_url': 'https://www.google.com/maps/contrib/116295169756031463677/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucqykiDTWV6Jq7WI-f9vGRsnHhzb2debhBgm3BaUaw=s128-c0x00000000-cc-rp-mo-ba2', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'Good food', 'time': 1549205446}]","['restaurant', 'point_of_interest', 'food', 'establishment']",158.0,2.0
0,"Rte de l'Usine-à-Gaz 10, 1219 Vernier, Switzerland",+41 22 754 92 72,Nénuphar Café | Restaurant,ChIJt8c02LFkjEcRcbEARQLCYQo,4.7,"[{'author_name': 'vedyongA V kujA', 'author_url': 'https://www.google.com/maps/contrib/100009958660020858104/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucrK-Dm68sjV2HRvs1l10giBLjJhgBkaaKz7jiNmcX4=s128-c0x00000000-cc-rp-mo', 'rating': 4, 'relative_time_description': '11 months ago', 'text': ""It's a very calm and nice place with naturally prepared menu😘"", 'time': 1630073870}, {'author_name': 'Maximilian Baier', 'author_url': 'https://www.google.com/maps/contrib/115330282508427401604/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucpnBp4_cgK-QUrB_snqDLTrXZ6-AamYX2BEXv8O=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'My sis And I must say valued the friendliness of our server. Good service from enjoyable staff, were seated quickly. My sister and I believed the food here was reasonably priced and would come back. A good range of food within the menu, always has plenty of meals to choose from and new meals added by the chefs all the time. Servers always Waiters always keen, can often find something I want on the menu.', 'time': 1580552712}, {'author_name': 'Fabio Almeida', 'author_url': 'https://www.google.com/maps/contrib/117773875350544012900/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucpUZwL7Az135lkEfIQCEJS-MN-CWbfrKDsXozpjqg=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': '8 months ago', 'text': 'Nice and very friendly', 'time': 1638533427}, {'author_name': 'Bob Eskimaro', 'author_url': 'https://www.google.com/maps/contrib/113287475562217459898/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmlrG_mq6u8D4CLj-1BDbRS1JyKS11CKn7dWOQQo=s128-c0x00000000-cc-rp-mo-ba4', 'rating': 4, 'relative_time_description': '10 months ago', 'text': ""Don't expect fancy, pico-bello service. This is not the goal of this restaurant which employs people / trainees as part of their return to work, supervised by the person in charge of the premises and cook. This is not the place and this is also what makes its charm. In terms of cuisine, it's simple, good, well served and very reasonable prices."", 'time': 1634310517}, {'author_name': 'Laurent Parisse', 'author_url': 'https://www.google.com/maps/contrib/113832901360481706395/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmnC3OeicCDQ3d97bHuB1pRspqwNpT5Tok6VEo5k=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': 'a year ago', 'text': 'Very friendly place with a welcoming team where you eat a variety of traditional dishes while doing a great social action. The local beer is top!', 'time': 1625759539}]","['restaurant', 'point_of_interest', 'food', 'establishment']",63.0,1.0
0,"Av. d'Aïre 89, 1203 Genève, Switzerland",+41 22 561 38 04,Restaurant Les Jardins du Rhône,ChIJV8uySFxljEcRn7XpIO3zZX0,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,
0,"Av. d'Aïre 89, 1203 Genève, Switzerland",+41 22 345 25 65,Canteen De La Residence Gardens Du Rhône,ChIJW8zU8rZkjEcR_Ke8t7c7hVc,5.0,"[{'author_name': 'Marco Majic', 'author_url': 'https://www.google.com/maps/contrib/104867605256140798225/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucq53tWmkz5lqPdkNs9uaZRGy-Yv1G0wyC7giXr4lg=s128-c0x00000000-cc-rp-mo-ba6', 'rating': 5, 'relative_time_description': '2 years ago', 'text': 'Very good retirement home restaurant. With good menus and daily specials', 'time': 1577282724}]","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,
0,"Chem. des Ouches 19, 1203 Genève, Switzerland",,Restaurant Scolaire Des Ouches,ChIJ8Ti8r7BkjEcRsbwcxSRTPH0,1.0,"[{'author_name': 'Makila Music', 'author_url': 'https://www.google.com/maps/contrib/117052514008571552309/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmngOKNtPxepoDpEjSQfcX_pIps-Sw_QLUh3zbom=s128-c0x00000000-cc-rp-mo', 'rating': 1, 'relative_time_description': '4 months ago', 'text': '', 'time': 1648833779}]","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,
0,"Rte du Pont Butin 12, 1213 Petit-Lancy, Switzerland",+41 22 793 64 45,Brasserie St-Georges,ChIJ6dEUj0t7jEcRN_lF0ohkVOo,4.2,"[{'author_name': 'Jean-Christophe Dick', 'author_url': 'https://www.google.com/maps/contrib/100978804810443733778/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucqvAVGWhVi_teMHnmLHVecoExLych3psaVPNfo7qrk=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '9 months ago', 'text': 'A great find.\nA high quality menu that leaves you happy after. La Soupe de Courges (pumpkin soup) is a treat to start. The beef with morel mushrooms with a side of gratin will leave you wanting for more but unable.\nFor slightly lighter fare the Salade Saint Georges is savory salad with a ratio of lardons to greens that favors the carnivores.', 'time': 1635506268}, {'author_name': 'Detlef Steinmüller', 'author_url': 'https://www.google.com/maps/contrib/102307685594283966655/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucolAoAlxSvkunYEQnLyAk9Q4EsBvFWqvaRsYmDsG-U=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 4, 'relative_time_description': '2 years ago', 'text': 'Close to an electric charging station, thus a welcome opportunity for a quick dinner: very friendly staff, speaking French only - keep your Google Translator ready! The Burger was pricey (Swiss standard), but good.', 'time': 1596205335}, {'author_name': 'Joakim Blaser', 'author_url': 'https://www.google.com/maps/contrib/107809899887854894327/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmna9nvVSh0oYxdx4ivno_yuv0On3_cDjyn5STDp=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '4 years ago', 'text': 'Top', 'time': 1534419040}, {'author_name': 'Biagio Tullio', 'author_url': 'https://www.google.com/maps/contrib/107639380668552992082/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucr_T0na1UXoK-WtvMs9npJyGKVymvv-jkGOw5VkQQ=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '4 years ago', 'text': 'super', 'time': 1517945467}, {'author_name': 'J M', 'author_url': 'https://www.google.com/maps/contrib/104148507530526842660/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucr6ZIyaSQKJrramI7MSmFRr_PXInOoNaTprzl1Ysw=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': 'in the last week', 'text': 'Great food and top notch service! We feel good at Saint Georges! We recommend !', 'time': 1660894023}]","['restaurant', 'food', 'point_of_interest', 'establishment']",192.0,2.0
0,"Rte de Saint-Georges 81, 1213 Petit-Lancy, Switzerland",+41 22 792 96 80,Restaurant Divan,ChIJhb4e-Ep7jEcRY38kziIGZmE,4.5,"[{'author_name': 'caroline eghagha', 'author_url': 'https://www.google.com/maps/contrib/104192484509179528964/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmm7Jh0D_Ct72eZa-sAUNz-noPYbKIddZQz4p1W5=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': 'a month ago', 'text': 'The food is great with two portions sizes for different hunger levels. It has always been served piping hot when i went. The waiters are really nice and attentive and welcoming. We go there regularly because e there is something for everyone.', 'time': 1657970589}, {'author_name': 'Michelle Halliday', 'author_url': 'https://www.google.com/maps/contrib/113957217021752763242/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucqXpklaxYcUBP3-4h9_jO6ZEOLKFFzsLkxWTEOx=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 5, 'relative_time_description': 'a year ago', 'text': 'Delicious pizza and wonderful ice cream', 'time': 1627600236}, {'author_name': 'Jad Khalidy', 'author_url': 'https://www.google.com/maps/contrib/113643971610396484795/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucquKQFMdDcV4-Bywz8z5i8-irsDUY7EOOZv_28jVw=s128-c0x00000000-cc-rp-mo-ba4', 'rating': 5, 'relative_time_description': '2 years ago', 'text': ""I've been there many times to eat lunch and the staff is really cool but most of all, the food is great. So if you're looking for a simple, delicious and cheap meal, you should definitely try this place."", 'time': 1576666782}, {'author_name': 'Roma Stad', 'author_url': 'https://www.google.com/maps/contrib/108955907041635217759/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucq3X3ZqmQoK8szba-uiBpQ4lqyWIuZKaoO7fYfW=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 5, 'relative_time_description': '3 years ago', 'text': 'Cool', 'time': 1566327822}, {'author_name': 'Rom1', 'author_url': 'https://www.google.com/maps/contrib/108296673022905591370/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmv0hFv9t3cDoF2E8UeD_RaySyhifHyxEa4iUfM=s128-c0x00000000-cc-rp-mo', 'rating': 4, 'relative_time_description': 'a week ago', 'text': 'Excellent Kebab, very friendly staff and really delicious dish!', 'time': 1660032775}]","['restaurant', 'food', 'point_of_interest', 'establishment']",113.0,2.0
0,"Rte Pont-Butin 12, 1213 Petit-Lancy, Switzerland",+41 79 228 82 48,Restaurant le Pénitencier,ChIJ6dEUj0t7jEcRrYIh0GVIMbk,4.1,"[{'author_name': 'Detlef Steinmüller', 'author_url': 'https://www.google.com/maps/contrib/102307685594283966655/reviews', 'language': 'en', 'profile_photo_url': 'https://lh3.googleusercontent.com/a-/AFdZucolAoAlxSvkunYEQnLyAk9Q4EsBvFWqvaRsYmDsG-U=s128-c0x00000000-cc-rp-mo-ba5', 'rating': 4, 'relative_time_description': '2 years ago', 'text': 'Quick visit whilst charging my car - burger was okay, very friendly staff, speaking French language only', 'time': 1596561846}, {'author_name': 'Candy Veiga', 'author_url': 'https://www.google.com/maps/contrib/114987955236288911505/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmjaWw6Dfk0NZ3mNIvKEIpAUjats8JcOwWPHKNH=s128-c0x00000000-cc-rp-mo-ba3', 'rating': 4, 'relative_time_description': '2 years ago', 'text': 'The Chinese fondue ... Hmmm a slaughter, me who loves almost raw meat I was not a fan of the Chinese or the meat is boiled, but there the house stock ouffff, I would get up at night to eat!', 'time': 1570571750}, {'author_name': 'Pepe Nuñez', 'author_url': 'https://www.google.com/maps/contrib/104525567276868137238/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmnk23HcABeuLyVk0wCNcfWgvsk359emtxvniY-S=s128-c0x00000000-cc-rp-mo', 'rating': 5, 'relative_time_description': '4 years ago', 'text': 'Nice and good disco', 'time': 1522368500}, {'author_name': 'paulo santos', 'author_url': 'https://www.google.com/maps/contrib/106659998912622797820/reviews', 'language': 'en-US', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmmrnEyeME6CHXIHTwWtyQK6VMPSEyVTIXROmDAb=s128-c0x00000000-cc-rp-mo-ba4', 'rating': 5, 'relative_time_description': '4 years ago', 'text': 'Enjoy', 'time': 1514595076}, {'author_name': 'Ana Santos', 'author_url': 'https://www.google.com/maps/contrib/113989687421904692549/reviews', 'profile_photo_url': 'https://lh3.googleusercontent.com/a/AItbvmlRoq77cvUEdNozERdoLzN3m2uctZxUxjmjrx6b=s128-c0x00000000-cc-rp-mo', 'rating': 1, 'relative_time_description': '4 years ago', 'text': '', 'time': 1516184447}]","['restaurant', 'point_of_interest', 'food', 'establishment']",17.0,
